tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dogtionary,rating,id_x,jpg_url,breed,dog,id_y,created_at,favorite_count,retweet_count,character_count
892420643555336193,2017-08-01 16:23:56+00:00,Twitter iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10,Phineas,,13.0,892420643555336193,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,orange,False,892420643555336193,2017-08-01 16:23:56+00:00,39467,8853,85
892420643555336193,2017-08-01 16:23:56+00:00,Twitter iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10,Phineas,,13.0,892420643555336193,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,bagel,False,892420643555336193,2017-08-01 16:23:56+00:00,39467,8853,85
892420643555336193,2017-08-01 16:23:56+00:00,Twitter iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10,Phineas,,13.0,892420643555336193,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,banana,False,892420643555336193,2017-08-01 16:23:56+00:00,39467,8853,85
892177421306343426,2017-08-01 00:17:27+00:00,Twitter iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10,Tilly,,13.0,892177421306343426,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,chihuahua,True,892177421306343426,2017-08-01 00:17:27+00:00,33819,6514,138
892177421306343426,2017-08-01 00:17:27+00:00,Twitter iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10,Tilly,,13.0,892177421306343426,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,pekinese,True,892177421306343426,2017-08-01 00:17:27+00:00,33819,6514,138
892177421306343426,2017-08-01 00:17:27+00:00,Twitter iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10,Tilly,,13.0,892177421306343426,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,papillon,True,892177421306343426,2017-08-01 00:17:27+00:00,33819,6514,138
891815181378084864,2017-07-31 00:18:03+00:00,Twitter iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10,Archie,,12.0,891815181378084864,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,chihuahua,True,891815181378084864,2017-07-31 00:18:03+00:00,25461,4328,121
891815181378084864,2017-07-31 00:18:03+00:00,Twitter iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10,Archie,,12.0,891815181378084864,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,malamute,True,891815181378084864,2017-07-31 00:18:03+00:00,25461,4328,121
891815181378084864,2017-07-31 00:18:03+00:00,Twitter iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10,Archie,,12.0,891815181378084864,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,kelpie,True,891815181378084864,2017-07-31 00:18:03+00:00,25461,4328,121
891689557279858688,2017-07-30 15:58:51+00:00,Twitter iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10,Darla,,13.0,891689557279858688,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper_towel,False,891689557279858688,2017-07-30 15:58:51+00:00,42908,8964,79
